ID,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
19,2.4101424,10.313461,1.0,6.6282234,4.0816555,16.00554,0.19688506,0.29477623,2.6413224,0.0,5,3.0,3.0,6.0,12.0,2.0,0,0
20,0.0,0.0,0.0,0.0,2.2239802,8.964885,0.0,0.35688412,0.0,0.0,2,7.0,10.0,5.0,4.0,2.0,0,0
21,0.0,0.0,1.0,0.0,0.0,0.0,0.5848035,0.5848035,0.0,1.0,2,3.0,3.0,6.0,12.0,2.0,1,0
22,1.4422495,3.583048,1.4422495,3.7680612,2.466212,6.467861,0.34789208,0.41161174,2.299061,0.0,2,5.0,10.0,2.0,3.0,2.0,1,0
23,1.709976,6.471274,1.2599211,3.4815357,1.8171207,5.288381,0.0,0.33130187,0.0,0.0,5,5.0,10.0,3.0,4.0,1.0,1,0
24,1.709976,4.6557283,0.0,0.0,3.8258624,11.272068,0.0,0.12978266,4.1100774,0.0,1,1.0,10.0,6.0,12.0,2.0,1,1
25,1.0,1.7175424,0.0,0.0,3.1748023,7.6151395,0.0,0.18420157,0.0,0.0,6,1.0,10.0,1.0,12.0,1.0,0,0
26,0.0,0.0,0.0,0.0,1.8171207,3.9148679,0.5313293,0.5178722,0.0,0.0,8,5.0,10.0,8.0,8.0,2.0,0,0
27,1.2599211,2.4101424,0.0,0.0,3.8708768,12.179039,0.23982045,0.29933184,0.0,0.9283178,2,1.0,10.0,5.0,2.0,2.0,0,0
28,1.709976,6.950674,0.0,0.0,2.7144177,9.691977,0.0,0.14937517,0.0,0.0,8,1.0,10.0,2.0,4.0,1.0,1,0
29,1.8171207,5.5517874,0.0,0.0,2.8020394,7.790128,0.30570918,0.30989936,0.0,0.0,8,5.0,10.0,5.0,7.0,2.0,0,0
30,0.0,0.0,0.0,0.0,1.4422495,3.2396119,0.0,0.4054808,0.0,0.0,2,1.0,10.0,6.0,8.0,2.0,0,0
31,0.0,0.0,0.0,0.0,2.6684017,8.327752,0.0,0.2274385,4.4967637,0.0,8,1.0,10.0,0.0,4.0,2.0,0,1
32,0.0,0.0,0.0,0.0,1.0,0.0,0.5848035,0.5848035,0.0,0.0,4,5.0,10.0,0.0,7.0,2.0,1,0
33,1.8171207,4.548448,0.0,0.0,4.5143576,16.14982,0.20273736,0.27967224,1.8819084,0.0,8,3.0,3.0,0.0,4.0,2.0,1,1
34,1.2599211,3.0171854,1.4422495,6.264128,3.0365891,8.062326,0.27144176,0.37952617,2.7335548,0.0,7,1.0,10.0,3.0,8.0,2.0,0,1
35,1.0,2.6207414,1.587401,4.97992,2.8844993,16.023514,0.0,0.15284923,2.7553425,0.0,1,3.0,3.0,0.0,4.0,1.0,0,1
38,1.587401,6.306797,1.0,3.3471649,4.140818,10.46343,0.0,0.15945123,4.319389,0.0,2,1.0,1.0,0.0,8.0,2.0,0,0
39,0.0,0.0,0.0,0.0,1.4422495,3.7913935,0.0,0.4054808,0.0,0.84343266,2,1.0,1.0,6.0,4.0,2.0,0,0
40,1.9129312,5.9837527,0.0,0.0,4.904868,13.842718,0.11823814,0.21559417,0.0,0.0,8,1.0,10.0,2.0,5.0,2.0,0,0
41,2.2239802,4.348625,0.0,0.0,7.6059055,21.509727,0.122760095,0.21614495,1.1593766,1.0,2,1.0,10.0,0.0,18.0,2.0,1,0
42,1.0,3.2396119,1.2599211,2.0800838,1.4422495,5.3014593,0.0,0.36840314,0.0,0.0,1,1.0,10.0,0.0,8.0,2.0,0,0
43,0.0,0.0,0.0,0.0,1.9129312,8.66017,0.30570918,0.38517165,0.0,0.0,9,1.0,10.0,2.0,4.0,1.0,0,1
44,1.0,0.0,1.2599211,3.1164122,3.2075346,9.417758,0.17877772,0.30570918,1.2924807,0.0,7,1.0,7.0,0.0,8.0,2.0,1,1
45,1.4422495,5.6774116,0.0,0.0,5.7488976,18.542213,0.21096307,0.2723975,0.0,0.0,8,1.0,10.0,0.0,4.0,2.0,0,0
46,0.0,0.0,0.0,0.0,2.4101424,9.996666,0.0,0.2847037,2.0394623,0.0,9,1.0,10.0,6.0,2.0,2.0,0,1
48,1.709976,4.8784003,1.4422495,4.605203,5.5396585,17.799444,0.13493824,0.22305651,0.0,0.0,9,1.0,10.0,3.0,4.0,2.0,0,0
49,0.0,0.0,0.0,0.0,1.2599211,1.9129312,0.0,0.46415886,0.0,0.0,1,1.0,10.0,0.0,8.0,2.0,0,0
50,2.466212,7.147295,1.587401,9.466798,4.8345885,18.051474,0.0,0.18743552,1.0111303,0.0,2,1.0,10.0,6.0,4.0,2.0,0,0
51,0.0,0.0,0.0,0.0,2.8844993,10.823634,0.23207943,0.24813545,0.0,0.0,1,0.0,3.0,6.0,4.0,2.0,1,0
52,0.0,0.0,0.0,0.0,2.2894285,6.1622405,0.24871337,0.37761664,0.0,0.0,2,1.0,10.0,2.0,1.0,2.0,1,0
53,0.0,0.0,0.0,0.0,3.1748023,13.808097,0.18420157,0.23835683,0.0,0.0,8,3.0,3.0,0.0,12.0,2.0,1,0
54,0.0,0.0,0.0,0.0,3.9578917,16.376076,0.1469765,0.24560311,0.0,0.0,3,1.0,4.0,5.0,8.0,2.0,0,0
55,2.0800838,4.01039,1.4422495,4.635392,3.2075346,9.159357,0.16959533,0.23880188,3.4578936,0.0,6,1.0,10.0,2.0,4.0,2.0,0,0
56,1.2599211,4.405434,0.0,0.0,3.4760268,12.031132,0.0,0.12705405,3.004735,0.0,1,1.0,4.0,0.0,8.0,2.0,0,0
57,1.2599211,5.8147073,0.0,0.0,3.1413808,11.483405,0.33130187,0.4054808,0.0,0.0,5,3.0,11.0,3.0,8.0,2.0,1,0
58,0.0,0.0,0.0,0.0,1.0,0.0,0.5848035,0.5848035,0.0,0.0,8,6.0,3.0,0.0,12.0,2.0,0,0
59,1.0,1.587401,1.2599211,4.672329,3.1413808,8.547979,0.25311306,0.31592488,2.057366,0.0,1,1.0,10.0,6.0,14.0,2.0,1,0
60,0.0,0.0,0.0,0.0,1.587401,3.5303485,0.0,0.36840314,0.0,0.0,2,1.0,10.0,5.0,8.0,2.0,0,0
61,0.0,0.0,0.0,0.0,2.6684017,8.71318,0.31608176,0.37475717,0.0,0.0,8,1.0,10.0,0.0,8.0,2.0,0,0
62,1.4422495,4.2077713,1.0,4.4479604,4.8345885,15.563765,0.20004165,0.26686355,2.4579923,0.0,9,5.0,10.0,0.0,8.0,2.0,1,0
63,0.0,0.0,1.4422495,3.072317,3.4482174,11.823219,0.23890705,0.32747692,0.0,0.0,2,1.0,10.0,2.0,7.0,2.0,1,0
64,1.0,1.587401,0.0,0.0,2.4101424,6.93754,0.0,0.19258696,2.904585,0.0,2,5.0,10.0,5.0,2.0,1.0,0,1
65,0.0,0.0,0.0,0.0,1.8171207,4.1601677,0.0,0.36840314,0.0,0.9283178,2,1.0,10.0,2.0,7.0,2.0,0,0
66,1.0,2.6684017,0.0,0.0,3.419952,11.082484,0.17099759,0.2823108,0.0,0.0,1,0.0,3.0,5.0,12.0,2.0,1,0
67,0.0,0.0,0.0,0.0,2.4101424,9.380151,0.0,0.0,3.6941023,0.0,5,1.0,10.0,7.0,7.0,2.0,0,1
68,1.2599211,3.1026225,1.2599211,4.635392,2.3513348,8.115428,0.0,0.16091917,0.0,0.0,7,3.0,3.0,5.0,4.0,1.0,0,0
70,2.0,4.918685,0.0,0.0,3.1413808,10.840325,0.0,0.1577015,2.3290832,0.0,2,1.0,1.0,0.0,12.0,1.0,0,1
71,0.0,0.0,0.0,0.0,1.587401,8.125622,0.0,0.36840314,0.0,0.0,2,1.0,10.0,4.0,4.0,2.0,0,0
72,0.0,0.0,0.0,0.0,1.0,0.0,0.5848035,0.5848035,0.0,0.0,0,1.0,10.0,5.0,12.0,2.0,0,0
74,2.2239802,6.552501,0.0,0.0,3.4482174,10.531125,0.0,0.22471897,1.9922518,0.0,8,3.0,3.0,6.0,4.0,1.0,1,1
75,1.4422495,4.0789857,1.2599211,2.2894285,2.5198421,7.32483,0.0,0.24662119,0.0,0.0,6,1.0,4.0,0.0,3.0,1.0,0,0
76,1.9129312,5.0894995,0.0,0.0,3.9790573,12.753976,0.22100094,0.271487,0.0,0.0,9,5.0,10.0,6.0,5.0,2.0,0,0
77,0.0,0.0,0.0,0.0,2.7144177,8.979929,0.41997352,0.43678963,0.0,0.84343266,2,5.0,9.0,6.0,7.0,2.0,0,0
79,1.587401,4.628011,0.0,0.0,3.3619754,9.569391,0.0,0.2596247,0.0,0.0,8,0.0,3.0,3.0,12.0,2.0,0,0
80,0.0,0.0,0.0,0.0,2.466212,6.664444,0.0,0.34199518,0.0,0.0,1,1.0,7.0,5.0,12.0,2.0,0,0
81,1.2599211,2.466212,0.0,0.0,2.3513348,4.254321,0.24264435,0.30570918,0.0,0.0,1,1.0,10.0,4.0,8.0,2.0,0,0
82,0.0,0.0,0.0,0.0,2.7144177,10.007883,0.0,0.19912113,3.6235845,0.0,7,1.0,10.0,2.0,4.0,2.0,1,1
83,1.587401,4.687548,0.0,0.0,3.1413808,9.404083,0.31176585,0.34793615,0.0,0.0,2,5.0,10.0,1.0,14.0,2.0,0,0
84,0.0,0.0,1.2599211,3.7325113,2.2894285,8.875869,0.2876867,0.30570918,0.0,0.0,2,3.0,3.0,6.0,12.0,2.0,0,0
85,0.0,0.0,1.587401,4.353294,2.8020394,10.285083,0.19739966,0.27254564,0.0,0.0,8,5.0,10.0,6.0,4.0,2.0,0,0
86,0.0,0.0,0.0,0.0,3.0,10.229564,0.0,0.19493093,3.8648467,0.0,1,1.0,10.0,6.0,4.0,2.0,0,1
87,0.0,0.0,0.0,0.0,2.5712817,8.658036,0.0,0.26034963,0.0,0.0,3,1.0,1.0,6.0,12.0,2.0,0,0
88,0.0,0.0,0.0,0.0,1.709976,5.3716855,0.34199518,0.3764136,0.0,0.0,1,1.0,10.0,0.0,4.0,2.0,0,0
89,0.0,0.0,0.0,0.0,2.9624963,7.7794814,0.1724445,0.34845027,0.0,0.0,8,5.0,10.0,2.0,15.0,2.0,1,0
90,0.0,0.0,0.0,0.0,2.8020394,10.249237,0.2876867,0.3317386,2.209531,0.0,5,1.0,10.0,5.0,8.0,2.0,0,1
92,1.709976,5.6349015,1.0,1.8171207,3.2075346,10.058249,0.23608221,0.2279336,0.0,0.0,8,5.0,10.0,0.0,12.0,2.0,0,0
93,1.2599211,4.753368,1.2599211,4.589959,3.1748023,9.41033,0.2904788,0.32983154,0.0,0.0,4,5.0,10.0,2.0,8.0,2.0,0,1
94,0.0,0.0,0.0,0.0,1.0,0.0,0.5848035,0.5848035,0.0,0.0,1,1.0,10.0,0.0,12.0,2.0,0,0
95,0.0,0.0,0.0,0.0,3.419952,9.912854,0.18980588,0.30439815,0.0,0.0,8,1.0,10.0,0.0,12.0,2.0,0,0
96,1.2599211,5.943922,0.0,0.0,2.1544347,8.392732,0.27144176,0.2519842,0.0,0.0,1,5.0,10.0,0.0,4.0,2.0,0,0
97,0.0,0.0,0.0,0.0,1.0,0.0,0.5848035,0.5848035,0.0,0.5848035,0,5.0,10.0,6.0,12.0,2.0,0,0
98,1.0,2.8020394,0.0,0.0,1.2599211,1.709976,0.0,0.4054808,0.0,0.0,2,1.0,10.0,6.0,7.0,2.0,0,0
99,0.0,0.0,0.0,0.0,2.7589242,8.508104,0.32182872,0.3682336,0.0,0.0,0,5.0,10.0,5.0,8.0,2.0,1,0
100,0.0,0.0,0.0,0.0,1.0,0.0,0.5848035,0.5848035,0.0,0.0,2,5.0,9.0,2.0,7.0,2.0,0,0
101,2.2894285,6.6641583,1.0,0.0,3.5568933,12.669885,0.0,0.19268577,2.7690663,0.0,8,1.0,10.0,4.0,4.0,2.0,0,0
102,1.0,1.587401,0.0,0.0,3.332222,10.312626,0.0,0.27223116,0.0,0.0,1,1.0,10.0,1.0,5.0,2.0,0,0
103,0.0,0.0,0.0,0.0,3.0365891,8.235088,0.25543818,0.2536012,0.0,0.0,8,3.0,3.0,5.0,4.0,2.0,0,0
104,0.0,0.0,0.0,0.0,3.1072326,8.784671,0.18821034,0.23712423,0.0,0.0,8,5.0,10.0,0.0,4.0,2.0,1,0
105,1.587401,9.776719,1.0,4.5143576,2.6207414,9.787924,0.0,0.17711447,0.0,0.0,9,3.0,3.0,1.0,4.0,1.0,0,0
106,1.2599211,4.481405,1.0,3.6215785,3.419952,10.585521,0.0,0.23998263,0.0,0.0,8,1.0,4.0,6.0,4.0,2.0,0,0
107,0.0,0.0,0.0,0.0,2.2894285,5.823567,0.0,0.20273736,0.0,0.0,2,1.0,7.0,3.0,8.0,2.0,0,0
108,0.0,0.0,0.0,0.0,1.0,0.0,0.5848035,0.5848035,0.0,0.0,2,1.0,10.0,0.0,12.0,2.0,0,0
109,0.0,0.0,0.0,0.0,2.2239802,6.6678195,0.0,0.19825141,0.0,0.0,1,5.0,10.0,1.0,4.0,2.0,0,0
110,0.0,0.0,0.0,0.0,2.0800838,6.903436,0.28114328,0.35421833,0.0,0.0,1,1.0,10.0,6.0,8.0,2.0,0,0
111,1.2599211,3.7762601,0.0,0.0,1.2599211,5.4423738,0.0,0.0,0.0,0.0,5,1.0,1.0,6.0,8.0,2.0,0,0
112,0.0,0.0,0.0,0.0,2.2239802,6.6738124,0.0,0.28114328,0.0,0.0,2,1.0,10.0,6.0,8.0,2.0,0,0
113,0.0,0.0,0.0,0.0,1.587401,4.445853,0.0,0.29876155,0.0,0.0,8,3.0,3.0,2.0,5.0,2.0,1,1
114,1.9129312,4.565623,1.0,2.2306993,4.0816555,9.375693,0.0,0.18821034,3.3526976,0.0,3,1.0,10.0,6.0,12.0,2.0,0,0
116,1.0,0.0,0.0,0.0,3.8708768,10.628062,0.13198148,0.26117808,2.6201382,0.0,9,1.0,4.0,6.0,2.0,2.0,0,0
117,1.709976,4.8798003,0.0,0.0,3.3619754,10.186608,0.31335583,0.36840314,0.0,0.0,8,3.0,11.0,0.0,8.0,2.0,0,0
118,2.0800838,6.5092573,1.0,3.4108076,3.583048,11.065179,0.22178303,0.34541503,0.0,0.0,5,1.0,10.0,1.0,12.0,2.0,0,0
119,1.4422495,4.069615,0.0,0.0,1.587401,3.715687,0.0,0.30570918,0.0,0.0,7,1.0,10.0,0.0,4.0,1.0,1,0
122,1.709976,5.3550763,0.0,0.0,2.5198421,9.054036,0.0,0.25087163,2.839728,0.0,8,3.0,3.0,6.0,3.0,1.0,0,1
123,0.0,0.0,0.0,0.0,1.8171207,5.7689986,0.0,0.34199518,0.0,0.0,1,1.0,4.0,2.0,12.0,2.0,0,0
124,0.0,0.0,0.0,0.0,4.4979415,12.720945,0.27740803,0.338587,0.0,1.0,2,1.0,10.0,6.0,14.0,2.0,1,0
126,0.0,0.0,0.0,0.0,3.6840317,12.172889,0.11082031,0.25926813,1.5339515,0.0,1,1.0,1.0,3.0,12.0,2.0,1,1
127,1.2599211,3.427062,0.0,0.0,2.843867,9.150754,0.20273736,0.29240176,2.8876815,0.0,9,3.0,3.0,5.0,11.0,2.0,1,1
128,0.0,0.0,0.0,0.0,1.8171207,6.6267056,0.0,0.32182872,0.0,0.0,8,1.0,8.0,3.0,8.0,2.0,0,0
129,1.4422495,2.9317946,0.0,0.0,3.7797632,12.617679,0.24341753,0.23911712,0.0,0.0,2,5.0,10.0,2.0,14.0,2.0,0,0
130,0.0,0.0,0.0,0.0,2.466212,10.227136,0.0,0.36002827,0.0,0.0,4,5.0,10.0,1.0,8.0,2.0,0,0
131,0.0,0.0,0.0,0.0,2.2239802,5.2222013,0.0,0.33130187,0.0,0.0,2,1.0,10.0,0.0,4.0,2.0,0,0
132,1.0,2.40054,1.0,0.0,5.848036,20.276203,0.16144523,0.2601084,1.5508934,0.0,8,1.0,7.0,2.0,8.0,2.0,0,1
133,1.4422495,4.4896884,1.2599211,2.5198421,3.6088262,14.401501,0.28138345,0.35452095,0.0,0.0,9,1.0,10.0,7.0,8.0,2.0,0,0
134,1.2599211,2.1179118,0.0,0.0,2.6207414,8.091158,0.0,0.17394465,0.0,0.0,1,1.0,10.0,2.0,4.0,2.0,1,0
135,0.0,0.0,0.0,0.0,1.587401,5.3014593,0.0,0.36840314,0.0,0.0,1,1.0,10.0,0.0,4.0,2.0,0,0
136,0.0,0.0,0.0,0.0,1.587401,5.0980644,0.5593445,0.56808525,0.0,0.0,8,5.0,10.0,2.0,14.0,2.0,1,0
137,0.0,0.0,0.0,0.0,2.3513348,6.999458,0.0,0.22763164,0.0,0.0,8,5.0,10.0,6.0,4.0,1.0,1,0
138,1.587401,3.6215785,0.0,0.0,3.332222,9.432424,0.17394465,0.25765646,2.349235,0.0,8,3.0,3.0,0.0,4.0,2.0,0,1
140,0.0,0.0,1.0,3.4056425,7.0939713,20.695562,0.11899625,0.19408512,2.1518648,0.0,8,1.0,10.0,0.0,4.0,2.0,0,1
141,0.0,0.0,0.0,0.0,1.8171207,10.125096,0.32182872,0.4054808,0.0,0.0,9,1.0,1.0,0.0,4.0,2.0,0,0
143,0.0,0.0,0.0,0.0,2.4101424,5.411817,0.0,0.30570918,0.0,0.0,2,1.0,10.0,1.0,2.0,2.0,1,0
144,0.0,0.0,0.0,0.0,1.9129312,6.576994,0.0,0.30570918,5.0458283,0.0,9,1.0,10.0,2.0,5.0,2.0,0,1
145,0.0,0.0,0.0,0.0,1.709976,5.155137,0.0,0.34199518,0.0,0.0,7,1.0,1.0,4.0,4.0,2.0,0,0
146,1.587401,5.0787535,0.0,0.0,3.1072326,8.1880455,0.18051293,0.29802778,1.9065174,0.0,8,1.0,10.0,5.0,7.0,2.0,0,1
147,1.2599211,3.5959833,1.0,4.01039,4.4979415,14.902252,0.23683934,0.27357832,0.0,0.0,8,5.0,10.0,0.0,14.0,2.0,1,1
148,1.4422495,4.171692,0.0,0.0,2.5712817,8.163811,0.0,0.1259921,0.0,0.0,6,1.0,10.0,4.0,4.0,1.0,0,0
149,1.2599211,2.4101424,0.0,0.0,2.0,3.8485012,0.0,0.38517165,0.0,0.0,1,3.0,10.0,2.0,11.0,1.0,0,0
151,2.0800838,5.534222,1.2599211,8.979377,3.1413808,8.908471,0.17877772,0.28749326,0.0,0.0,2,3.0,3.0,0.0,8.0,2.0,0,0
153,1.709976,5.342649,0.0,0.0,2.466212,6.6279707,0.0,0.27144176,0.0,0.0,9,0.0,3.0,0.0,4.0,1.0,1,0
154,1.0,4.2358236,0.0,0.0,2.6684017,10.81034,0.2274385,0.2865505,3.9222996,0.84343266,2,1.0,10.0,0.0,12.0,2.0,0,1
155,0.0,0.0,0.0,0.0,3.2075346,7.7879786,0.23454718,0.24508256,0.0,0.0,8,3.0,3.0,4.0,4.0,2.0,0,0
158,0.0,0.0,0.0,0.0,1.709976,3.8929965,0.43088692,0.4932424,0.0,0.0,1,1.0,10.0,3.0,8.0,2.0,0,0
159,0.0,0.0,1.2599211,3.6088262,3.1748023,9.650721,0.40930477,0.46766916,0.0,0.0,2,5.0,10.0,2.0,8.0,2.0,0,0
160,0.0,0.0,0.0,0.0,1.709976,5.6670513,0.0,0.34199518,0.0,0.0,1,5.0,10.0,1.0,8.0,2.0,0,0
161,1.2599211,4.0155644,0.0,0.0,3.5303485,10.501062,0.0,0.2407442,0.0,0.0,8,1.0,10.0,0.0,5.0,2.0,0,0
162,0.0,0.0,0.0,0.0,3.419952,15.871807,0.13460791,0.34724364,0.0,0.0,8,0.0,10.0,2.0,8.0,2.0,0,0
163,2.0800838,5.713378,1.4422495,5.1769943,4.2358236,12.603893,0.13572088,0.2857526,0.0,0.0,8,1.0,10.0,0.0,8.0,2.0,0,0
164,0.0,0.0,0.0,0.0,3.8708768,10.247408,0.0,0.2829534,1.2201124,0.0,6,1.0,10.0,6.0,4.0,2.0,0,0
165,0.0,0.0,0.0,0.0,3.4482174,9.0771475,0.3019356,0.36488956,0.0,0.0,3,3.0,3.0,3.0,12.0,2.0,0,0
166,0.0,0.0,0.0,0.0,2.2239802,5.733306,0.0,0.2087071,0.0,0.0,8,3.0,3.0,0.0,11.0,1.0,0,0
167,1.4422495,3.5303485,0.0,0.0,2.466212,6.7697186,0.23207943,0.23207943,0.0,0.0,9,5.0,10.0,6.0,4.0,2.0,1,0
168,1.2599211,2.2239802,0.0,0.0,2.2239802,9.919352,0.28988105,0.35486802,0.0,0.0,9,3.0,3.0,0.0,8.0,2.0,0,0
170,0.0,0.0,0.0,0.0,2.4101424,7.51454,0.0,0.19258696,0.0,0.0,9,1.0,10.0,5.0,14.0,2.0,0,0
171,1.709976,3.072317,0.0,0.0,1.587401,2.2894285,0.0,0.32182872,0.0,0.0,1,0.0,3.0,0.0,11.0,1.0,1,0
172,0.0,0.0,0.0,0.0,1.0,0.0,0.5848035,0.5848035,0.0,0.0,1,3.0,3.0,6.0,12.0,2.0,0,0
173,1.4422495,6.2213626,1.0,1.587401,2.3513348,6.540835,0.0,0.18420157,0.0,0.0,8,5.0,10.0,5.0,4.0,2.0,0,0
174,1.0,3.4482174,0.0,0.0,2.0800838,6.8033724,0.0,0.34199518,0.0,0.0,1,3.0,3.0,1.0,19.0,1.0,1,0
175,0.0,0.0,0.0,0.0,1.2599211,3.879755,0.0,0.46415886,0.0,0.0,7,1.0,1.0,0.0,4.0,1.0,0,0
176,2.0,4.2635098,0.0,0.0,3.2710664,13.605064,0.21726644,0.23254883,0.0,0.0,4,1.0,10.0,5.0,4.0,1.0,1,0
177,0.0,0.0,0.0,0.0,3.3619754,11.680415,0.0,0.21915653,0.0,0.0,8,1.0,10.0,5.0,8.0,2.0,0,0
178,1.8171207,8.009538,0.0,0.0,3.2075346,13.90813,0.0,0.2598421,3.1147678,0.0,8,1.0,1.0,0.0,4.0,2.0,0,1
179,1.2599211,4.8317347,0.0,0.0,3.0,11.587778,0.0,0.11990733,3.5531056,0.0,8,3.0,3.0,2.0,4.0,1.0,0,1
180,1.4422495,4.918685,0.0,0.0,1.8171207,5.823567,0.28114328,0.28114328,0.0,1.0,2,7.0,10.0,6.0,4.0,1.0,1,0
181,2.0800838,7.4322796,0.0,0.0,3.8485012,14.079583,0.0,0.19054322,2.356866,0.0,7,1.0,10.0,6.0,4.0,2.0,0,0
183,1.8171207,5.826514,0.0,0.0,3.6342413,14.936463,0.0,0.19871677,2.2542107,0.0,1,3.0,3.0,0.0,12.0,2.0,0,0
184,0.0,0.0,1.2599211,2.8020394,3.4482174,9.930773,0.1669227,0.21030943,0.0,0.0,8,1.0,10.0,6.0,4.0,2.0,1,0
186,0.0,0.0,0.0,0.0,2.4101424,8.268655,0.33507013,0.36723036,0.0,0.0,1,1.0,8.0,6.0,8.0,2.0,0,0
187,1.0,2.2957704,1.709976,7.899792,3.6840317,11.628642,0.0,0.27117005,0.0,0.0,8,1.0,10.0,0.0,4.0,2.0,0,0
188,1.2599211,3.0365891,1.2599211,5.598767,3.0,10.781741,0.18821034,0.24478252,3.4118762,0.0,1,1.0,10.0,0.0,4.0,2.0,0,1
189,0.0,0.0,0.0,0.0,4.4479604,17.205467,0.17012677,0.28600138,0.0,0.0,8,1.0,10.0,0.0,4.0,2.0,0,0
190,0.0,0.0,0.0,0.0,2.2894285,6.824432,0.0,0.17711447,0.0,0.0,0,3.0,3.0,0.0,7.0,2.0,1,0
191,1.4422495,3.6717105,0.0,0.0,3.0,8.8902025,0.24942265,0.30057296,0.0,0.0,8,5.0,10.0,6.0,12.0,2.0,0,0
192,0.0,0.0,0.0,0.0,1.2599211,3.2396119,0.0,0.46415886,0.0,0.0,2,1.0,10.0,0.0,7.0,2.0,1,0
193,1.2599211,2.1544347,1.709976,3.756286,3.332222,11.642218,0.0,0.23207943,0.0,0.9283178,2,1.0,10.0,3.0,7.0,2.0,0,0
194,1.709976,5.1267595,1.4422495,2.5198421,5.484807,18.49243,0.2200413,0.30380702,1.5201508,0.0,8,3.0,3.0,0.0,4.0,2.0,0,1
195,2.1544347,8.724522,1.4422495,2.6447864,2.9624963,11.431996,0.2768177,0.30560926,2.7303767,0.0,8,5.0,10.0,0.0,18.0,2.0,0,0
196,1.4422495,3.3912115,0.0,0.0,3.1072326,9.798756,0.22970977,0.28941616,0.0,0.0,1,3.0,11.0,6.0,12.0,2.0,0,0
198,0.0,0.0,0.0,0.0,2.8020394,8.253188,0.26295444,0.37569943,0.0,0.0,3,1.0,10.0,6.0,12.0,2.0,1,0
